1,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
43,1
46,1
47,1
48,1
49,1
51,1
54,1
58,1
59,1
60,1
61,1
62,1
63,1
66,1
71,1
74,1
75,1
77,1
78,1
79,1
80,1
82,1
88,1
90,1
91,1
92,1
95,1
98,1
104,1
109,1
110,1
112,1
113,1
116,1
117,1
118,1
120,1
121,1
122,1
123,1
129,1
133,1
134,1
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,0
